obs vh wind humidity temp ibh dpg ibt vis doy HO
"55" 5670 7 61 44 3497 73 97 40 89 FALSE
"56" 5550 10 74 40 5000 73 45 80 91 FALSE
"57" 5470 7 46 30 5000 44 -15 300 92 FALSE
"58" 5320 11 45 25 5000 39 -25 200 93 FALSE
"59" 5530 3 43 40 5000 -12 9 140 95 FALSE
"60" 5600 3 21 45 5000 -2 39 140 96 FALSE
"61" 5660 7 57 51 5000 30 56 140 97 FALSE
"62" 5580 5 42 48 3608 24 41 100 98 FALSE
"63" 5510 5 50 45 5000 38 5 140 99 FALSE
"64" 5530 5 61 47 5000 56 20 200 100 FALSE
"65" 5620 9 61 43 5000 66 13 120 101 FALSE
"66" 5690 0 60 49 613 -27 154 300 102 FALSE
"67" 5760 4 31 56 334 -9 180 300 103 FALSE
"68" 5740 3 66 53 567 13 166 150 104 FALSE
"69" 5780 5 53 61 488 -20 183 2 105 FALSE
"70" 5790 2 42 63 531 -15 217 50 106 FALSE
"71" 5760 3 60 70 508 7 192 70 107 TRUE
"72" 5700 4 82 57 1571 68 135 17 108 FALSE
"73" 5680 4 57 35 721 28 130 140 109 FALSE
"74" 5720 5 21 52 505 -49 196 140 110 FALSE
"75" 5720 5 19 59 377 -27 229 300 111 FALSE
"76" 5730 4 32 67 442 -9 243 200 112 FALSE
"77" 5710 5 77 57 902 54 158 250 113 FALSE
"78" 5720 4 71 42 1381 4 135 60 115 FALSE
"79" 5710 3 19 55 5000 -16 100 100 116 FALSE
"80" 5600 6 45 40 5000 38 83 150 117 FALSE
"81" 5630 4 44 39 1302 40 115 150 118 FALSE
"82" 5690 7 70 57 1292 -5 120 200 119 FALSE
"83" 5730 6 45 58 5000 -14 115 100 120 FALSE
"84" 5710 3 46 62 472 34 172 300 121 FALSE
"85" 5610 6 50 51 1404 42 125 120 121 FALSE
"86" 5680 5 69 61 944 35 132 100 122 FALSE
"87" 5620 6 67 34 5000 75 18 200 123 FALSE
"88" 5420 7 69 35 5000 41 -6 200 124 FALSE
"89" 5540 5 54 35 5000 62 8 200 125 FALSE
"90" 5590 6 51 48 5000 44 56 300 126 FALSE
"91" 5690 6 63 59 2014 31 119 300 127 FALSE
"92" 5550 7 63 41 5000 56 29 250 128 FALSE
"93" 5620 7 57 58 5000 27 87 120 129 FALSE
"94" 5630 6 61 51 524 57 126 140 130 FALSE
"95" 5580 7 78 46 5000 55 36 200 131 FALSE
"96" 5560 4 65 40 5000 59 18 140 132 FALSE
"97" 5440 5 44 35 5000 24 3 80 133 FALSE
"98" 5480 7 51 46 2490 29 86 300 134 FALSE
"99" 5620 5 73 39 5000 107 -4 100 135 FALSE
"100" 5450 11 35 32 5000 36 8 300 136 FALSE
"101" 5660 6 35 47 5000 28 41 200 137 FALSE
"102" 5680 6 61 50 1144 30 120 120 138 FALSE
"103" 5760 4 50 65 547 1 194 100 139 FALSE
"104" 5790 4 57 66 413 10 209 120 140 TRUE
"105" 5720 5 68 69 610 46 176 60 141 FALSE
"106" 5660 6 58 59 3638 81 107 120 142 FALSE
"107" 5710 5 65 64 3848 45 138 100 143 FALSE
"108" 5780 7 78 68 1479 40 200 100 144 TRUE
"109" 5750 7 73 49 1108 55 186 27 145 FALSE
"110" 5700 5 41 52 869 0 145 40 146 FALSE
"111" 5620 9 47 56 5000 43 35 140 147 FALSE
"112" 5650 6 46 55 5000 49 33 150 148 FALSE
"113" 5730 5 61 66 1148 31 160 100 149 TRUE
"114" 5810 4 55 74 856 4 241 100 150 TRUE
"115" 5790 4 60 76 807 16 228 120 151 TRUE
"116" 5740 8 78 70 2040 46 175 150 152 FALSE
"117" 5690 4 71 67 314 60 150 120 154 FALSE
"118" 5680 6 77 41 5000 75 49 120 156 FALSE
"119" 5650 8 66 61 1410 20 129 140 157 FALSE
"120" 5730 6 74 68 360 23 169 120 158 FALSE
"121" 5730 3 78 69 1568 32 198 70 159 TRUE
"122" 5760 7 78 74 1184 40 204 80 160 TRUE
"123" 5830 6 75 74 898 24 230 70 161 TRUE
"124" 5880 3 80 80 436 0 302 40 162 TRUE
"125" 5890 6 88 84 774 6 300 20 163 TRUE
"126" 5850 4 76 78 1181 50 266 17 164 TRUE
"127" 5820 6 63 80 1991 47 209 40 165 FALSE
"128" 5800 7 78 76 1597 56 200 50 167 TRUE
"129" 5740 3 74 74 1184 52 208 70 168 FALSE
"130" 5710 7 63 66 3005 58 151 80 169 FALSE
"131" 5720 8 62 66 2880 53 141 120 170 FALSE
"132" 5740 5 53 69 2125 64 150 100 172 FALSE
"133" 5690 9 62 62 3720 74 105 120 174 FALSE
"134" 5730 5 71 67 4337 66 152 200 175 FALSE
"135" 5780 3 68 80 2053 31 227 120 176 TRUE
"136" 5790 7 79 76 1958 70 214 40 177 TRUE
"137" 5750 3 76 65 3644 86 152 70 178 FALSE
"138" 5680 6 71 65 1368 75 147 100 179 FALSE
"139" 5720 3 66 63 3539 73 120 120 180 FALSE
"140" 5770 4 81 62 2785 49 174 100 181 FALSE
"141" 5800 4 72 68 984 26 207 120 181 TRUE
"142" 5780 8 92 68 1804 56 200 70 182 FALSE
"143" 5740 6 71 69 3234 77 171 80 183 TRUE
"144" 5730 6 64 66 3441 67 161 100 184 FALSE
"145" 5760 6 68 70 1578 61 160 100 185 FALSE
"146" 5770 7 59 70 1850 76 160 120 186 FALSE
"147" 5690 8 67 64 2962 80 152 120 187 FALSE
"148" 5650 6 66 61 2670 54 130 120 188 FALSE
"149" 5610 3 61 52 5000 76 56 150 189 FALSE
"150" 5570 9 81 48 5000 57 49 140 190 FALSE
"151" 5690 5 63 59 5000 46 107 140 191 FALSE
"152" 5760 3 58 67 987 28 177 140 192 TRUE
"153" 5810 5 68 66 1148 43 194 140 193 FALSE
"154" 5830 4 71 74 898 -24 255 60 194 TRUE
"155" 5880 6 67 83 777 -1 281 30 195 TRUE
"156" 5860 3 64 78 1279 75 220 17 196 FALSE
"157" 5830 6 64 75 1046 69 204 80 197 FALSE
"158" 5870 4 69 84 1167 50 235 60 198 TRUE
"159" 5860 3 77 81 987 45 243 100 199 TRUE
"160" 5800 3 61 79 1144 57 218 120 200 TRUE
"161" 5800 4 69 79 977 60 215 150 201 FALSE
"162" 5770 5 64 65 770 26 242 120 202 TRUE
"163" 5860 4 33 81 629 -11 302 140 203 FALSE
"164" 5870 7 38 84 337 -14 321 140 204 FALSE
"165" 5870 4 54 83 590 26 295 120 205 TRUE
"166" 5860 6 39 90 400 19 285 120 206 TRUE
"167" 5880 5 43 90 580 9 307 80 207 FALSE
"168" 5870 7 55 93 646 25 318 140 208 TRUE
"169" 5860 4 77 88 826 41 291 140 209 TRUE
"170" 5830 5 63 72 823 52 236 150 210 FALSE
"171" 5820 5 65 72 2116 47 213 120 211 FALSE
"172" 5820 8 64 70 2972 52 180 120 212 FALSE
"173" 5860 6 68 78 2752 41 211 140 213 TRUE
"174" 5870 3 76 87 1377 37 258 100 214 TRUE
"175" 5890 6 71 91 1486 33 266 50 215 TRUE
"176" 5900 6 86 87 990 22 295 40 216 TRUE
"177" 5890 5 65 91 508 29 296 100 217 TRUE
"178" 5910 4 73 88 1204 56 266 100 219 TRUE
"179" 5900 5 69 83 2414 63 247 60 220 FALSE
"180" 5860 3 64 78 2385 67 213 50 221 FALSE
"181" 5830 3 63 79 2326 64 218 70 222 FALSE
"182" 5850 9 72 77 3389 56 204 80 223 FALSE
"183" 5830 6 82 81 2818 58 221 80 224 FALSE
"184" 5810 8 69 76 2394 54 209 90 226 TRUE
"185" 5830 4 74 78 2746 61 208 120 227 TRUE
"186" 5830 5 69 75 2493 55 225 120 228 TRUE
"187" 5840 7 72 82 1528 42 233 100 229 TRUE
"188" 5870 6 73 84 111 40 256 60 230 TRUE
"189" 5870 4 90 86 1899 45 247 40 231 TRUE
"190" 5860 3 80 80 1289 32 240 40 233 TRUE
"191" 5900 3 73 80 984 35 260 70 234 TRUE
"192" 5890 4 71 84 836 28 275 80 235 FALSE
"193" 5880 4 78 84 826 27 263 80 236 FALSE
"194" 5890 6 80 81 1105 39 234 80 237 TRUE
"195" 5870 8 74 85 1023 46 251 80 238 TRUE
"196" 5820 6 63 73 2956 46 196 120 241 FALSE
"197" 5780 6 57 72 2988 56 187 150 241 FALSE
"198" 5770 3 55 68 4291 60 168 200 242 FALSE
"199" 5790 4 65 65 3330 59 148 150 243 FALSE
"200" 5840 7 65 79 1233 30 214 100 249 FALSE
"201" 5910 5 72 81 1069 28 235 80 251 TRUE
"202" 5890 5 79 80 984 57 230 70 252 TRUE
"203" 5870 6 62 76 1653 71 204 60 253 FALSE
"204" 5780 7 65 59 3930 68 151 150 254 FALSE
"205" 5730 5 77 55 5000 73 109 200 255 FALSE
"206" 5780 7 70 66 5000 45 107 200 256 FALSE
"207" 5750 7 58 64 4212 46 138 200 257 FALSE
"208" 5760 5 58 62 5000 52 99 250 258 FALSE
"209" 5730 7 72 67 5000 31 141 300 259 FALSE
"210" 5730 5 77 74 1545 43 187 70 260 FALSE
"211" 5790 4 57 74 994 44 209 300 261 FALSE
"212" 5750 3 67 70 1125 55 200 150 262 FALSE
"213" 5880 3 73 77 636 16 233 300 263 TRUE
"214" 5890 7 70 83 748 32 250 30 264 TRUE
"215" 5880 4 73 81 692 44 254 100 265 TRUE
"216" 5870 7 73 73 807 39 260 100 266 TRUE
"217" 5900 6 71 87 869 19 261 17 267 TRUE
"218" 5920 4 77 89 800 24 298 20 268 TRUE
"219" 5930 3 68 92 393 6 332 4 269 TRUE
"220" 5950 5 62 92 557 0 326 70 270 TRUE
"221" 5950 8 61 93 620 27 298 30 271 TRUE
"222" 5900 5 71 93 1404 33 293 70 271 TRUE
"223" 5890 8 77 86 898 21 270 60 272 TRUE
"224" 5860 7 71 76 377 -2 285 40 273 FALSE
"225" 5840 5 67 81 528 17 260 50 274 TRUE
"226" 5800 6 74 78 2818 26 226 70 275 FALSE
"227" 5760 7 65 73 3247 10 196 140 276 FALSE
"228" 5810 6 82 80 895 0 256 100 277 TRUE
"229" 5850 4 67 81 721 0 268 120 278 FALSE
"230" 5760 7 87 52 5000 39 110 150 281 FALSE
"231" 5860 4 71 63 1965 13 161 50 282 FALSE
"232" 5830 5 77 72 1853 10 216 70 283 TRUE
"233" 5840 5 78 75 2342 7 219 40 284 FALSE
"234" 5800 7 72 55 5000 56 109 70 285 FALSE
"235" 5790 3 71 61 4028 35 128 140 287 FALSE
"236" 5830 5 71 71 2716 26 176 140 288 TRUE
"237" 5810 5 76 71 3671 31 188 100 289 FALSE
"238" 5780 6 76 72 3795 31 194 70 291 TRUE
"239" 5800 6 73 75 3120 35 194 40 292 FALSE
"240" 5800 5 80 65 2667 17 175 100 294 FALSE
"241" 5780 9 73 61 5000 39 115 120 295 FALSE
"242" 5790 8 80 60 5000 36 94 120 296 FALSE
"243" 5770 5 75 64 308 25 204 140 297 FALSE
"244" 5750 4 68 61 2982 18 155 120 298 FALSE
"245" 5640 5 93 63 5000 30 115 70 299 FALSE
"246" 5640 7 57 62 5000 25 107 150 300 FALSE
"247" 5650 3 70 59 5000 38 87 200 301 FALSE
"248" 5710 6 65 56 5000 35 88 200 302 FALSE
"249" 5760 6 66 59 3070 13 156 200 303 FALSE
"250" 5840 4 73 72 830 0 223 70 304 FALSE
"251" 5880 3 77 71 711 -9 242 40 305 TRUE
"252" 5890 5 80 75 1049 -10 261 50 306 TRUE
"253" 5890 4 73 71 511 -39 288 17 307 FALSE
"254" 5890 5 19 71 5000 -40 198 80 308 FALSE
"255" 5890 6 19 73 5000 -34 208 250 309 FALSE
"256" 5850 3 73 78 377 -3 260 200 310 FALSE
"257" 5830 5 76 73 862 27 231 2 311 FALSE
"258" 5830 8 77 71 337 -17 273 20 312 FALSE
"259" 5860 5 86 73 492 -2 279 7 313 TRUE
"260" 5830 5 76 71 1394 13 239 30 314 TRUE
"261" 5800 7 66 66 3146 27 178 50 315 FALSE
"262" 5830 4 74 69 2234 11 193 70 316 FALSE
"263" 5790 5 71 69 2109 21 209 17 317 TRUE
"264" 5730 4 84 64 5000 23 125 80 318 FALSE
"265" 5780 5 74 65 2270 -7 205 50 319 FALSE
"266" 5740 7 48 54 2191 -13 204 60 320 FALSE
"267" 5710 8 75 62 3448 12 148 60 321 FALSE
"268" 5690 6 74 56 5000 13 94 80 322 FALSE
"269" 5670 4 67 55 5000 11 97 50 323 FALSE
"270" 5760 4 75 58 2719 25 138 50 324 FALSE
"271" 5820 5 71 48 1899 21 167 40 325 FALSE
"272" 5790 3 35 54 5000 -41 114 40 326 FALSE
"273" 5760 5 23 57 5000 -21 105 300 327 FALSE
"274" 5800 6 19 60 5000 -19 124 200 328 FALSE
"275" 5810 7 59 61 2385 10 158 150 329 FALSE
"276" 5750 4 60 63 1938 0 170 100 330 FALSE
"277" 5840 0 38 65 590 -11 211 100 331 FALSE
"278" 5920 3 22 71 328 -40 270 150 333 FALSE
"279" 5860 7 19 70 5000 -29 165 300 335 FALSE
"280" 5840 0 45 68 597 -22 231 30 337 TRUE
"281" 5810 2 47 69 469 -4 221 50 339 FALSE
"282" 5770 2 73 59 1541 18 173 20 340 FALSE
"283" 5710 4 67 49 5000 24 55 200 341 FALSE
"284" 5500 9 56 39 5000 15 54 120 342 FALSE
"285" 5660 3 54 50 5000 27 70 300 343 FALSE
"286" 5700 3 71 46 5000 54 60 200 344 FALSE
"287" 5810 5 59 54 5000 -28 120 70 345 FALSE
"288" 5860 0 25 60 5000 -38 175 140 346 FALSE
"289" 5900 0 24 62 5000 -36 156 150 347 FALSE
"290" 5850 5 41 65 2014 -20 211 200 348 FALSE
"291" 5780 3 50 66 436 1 213 4 349 FALSE
"292" 5790 0 76 66 830 3 189 40 350 FALSE
"293" 5780 2 82 63 1112 -8 191 30 351 FALSE
"294" 5770 2 81 62 1210 -17 199 30 352 FALSE
"295" 5750 2 85 60 501 -22 216 2 353 FALSE
"296" 5780 5 76 63 875 -15 205 0 354 FALSE
"297" 5790 5 66 60 1601 7 167 30 355 FALSE
"298" 5750 6 58 58 5000 59 55 60 356 FALSE
"299" 5670 8 19 34 5000 -63 28 150 357 FALSE
"300" 5760 0 19 36 5000 -52 50 100 358 FALSE
"301" 5770 4 19 44 2280 -54 132 250 359 FALSE
"302" 5810 2 19 53 2047 -43 175 150 360 FALSE
"303" 5810 2 19 52 5000 -69 136 200 361 FALSE
"304" 5870 3 19 53 3720 -50 163 200 362 FALSE
"305" 5830 2 27 58 311 -24 211 200 363 FALSE
"306" 5760 0 64 55 2536 28 136 80 364 FALSE
"307" 5680 0 52 50 1154 -22 164 60 365 FALSE
"308" 5780 4 19 48 2933 -40 155 300 366 FALSE
"309" 5810 3 19 51 3064 -33 171 200 367 FALSE
"310" 5760 0 32 62 826 -16 182 300 368 FALSE
"311" 5680 0 58 40 5000 2 61 50 369 FALSE
"312" 5750 0 26 44 111 -52 201 40 370 FALSE
"313" 5790 5 19 49 5000 -48 126 70 371 FALSE
"314" 5770 3 19 53 5000 -37 131 150 372 FALSE
"315" 5750 0 19 53 5000 -26 106 150 373 FALSE
"316" 5720 0 19 53 5000 -31 108 70 374 FALSE
"317" 5760 3 19 55 948 -48 215 200 375 FALSE
"318" 5780 0 19 51 5000 -50 105 120 376 FALSE
"319" 5660 4 19 54 5000 -22 92 150 377 FALSE
"320" 5610 2 58 48 3687 -10 83 150 378 FALSE
"321" 5640 0 51 53 5000 0 68 60 379 FALSE
"322" 5680 3 52 49 5000 -19 76 70 380 FALSE
"323" 5650 5 19 48 5000 -28 74 150 381 FALSE
"324" 5710 4 19 51 5000 -25 91 300 382 FALSE
"325" 5680 4 57 47 508 -10 148 100 383 FALSE
"326" 5630 4 50 50 2851 -5 100 70 384 FALSE
"327" 5730 3 53 51 111 -14 225 200 387 FALSE
"328" 5690 3 23 51 5000 -36 107 70 388 FALSE
"329" 5650 3 61 50 3704 18 83 40 389 FALSE
"330" 5550 4 85 39 5000 8 44 100 390 FALSE
